Year,Diesel Generator
1,1.193
2,1.371
3,1.32
4,1.287
5,1.341999692
6,1.397073314
7,1.452146936
8,1.507220558
9,1.56229418
10,1.580228864
11,1.598163548
12,1.616098232
13,1.634032916
14,1.6519676
15,1.669902284
16,1.687836968
17,1.705771652
18,1.723706335
19,1.741641019
20,1.759575703
