Year,Diesel Generator
1,1.193
2,1.371
3,1.32
4,1.287
5,1.325267592
6,1.363609113
7,1.401950635
8,1.440292156
9,1.478633678
10,1.466888628
11,1.455143579
12,1.443398529
13,1.43165348
14,1.419908431
15,1.408163381
16,1.396418332
17,1.384673282
18,1.372928233
19,1.361183184
20,1.349438134
