Year,Conservative,Moderate,Advanced
2022,2100,2100,2100
2023,2080,2080,2080
2024,2189,1938,1735
2025,2159,1711,1390
2026,2082,1659,1336
2027,2005,1607,1281
2028,1928,1555,1226
2029,1851,1503,1172
2030,1774,1451,1117
2031,1763,1430,1099
2032,1752,1409,1082
2033,1740,1388,1064
2034,1729,1368,1046
2035,1717,1347,1028
2036,1706,1326,1010
2037,1694,1305,993
2038,1683,1285,975
2039,1671,1264,957
2040,1660,1243,939
2041,1649,1222,922
