2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041
237,277.53717459769774,320.67362511164305,365.95984356971877,412.5983739302439,459.442020267965,505.14394121435305,548.3864573112245,588.0905597427912,623.540639450773,654.4099578485202,680.7104685993008,702.7043135156969,720.8091887719777,735.5170976818652,747.334147709659,756.7413182546222,764.1724368416675,770.0046289983893,774.5569388525682
210,245.91901546631448,284.141186807785,324.2682158212698,365.5934958875579,407.1005242880703,447.59589727854063,485.9120507820976,521.0929010379162,552.5043640703052,579.856924675904,603.1611747082412,622.6493917227695,638.6916862536511,651.7240106041843,662.19481442628,670.5302819977666,677.1148174546421,682.2825826568006,686.3162749326553
194,227.18232857364288,262.4923344795728,299.56206604441115,337.73875334374395,376.0833414851697,413.4933527239852,448.8901802463188,481.3905847683607,510.4087934744724,535.6773494625018,557.2060375876133,575.2094380677013,590.0294625390873,602.0688478914846,611.7418761842778,619.4422605122224,625.5251170771455,630.299147787711,634.0255111282626
199,233.03754322760275,269.25760083213913,307.2827378496795,346.4433603886858,385.7762111110761,424.15039789728377,460.45951478874963,493.79755860259684,523.5636592856702,549.48346671669,571.5670179378095,590.0344235849101,605.2364074498885,617.5860862392033,627.5084193849035,635.407267226455,641.6468984451133,646.5439711843015,650.3663748171354
182,213.1298134041392,246.25569523341366,281.0324537117672,316.8476964358835,352.8204543829942,387.91644430806855,421.1237773444846,451.61384756619407,478.8371155275978,502.54266805245015,522.7396847471424,539.6294728264002,553.5327947531642,564.8274758569597,573.902172502776,581.1262443980644,586.8328417940231,591.3115716358939,594.8074382749679
207,242.40588667393854,280.0820269962452,319.6358127381088,360.37073166059275,401.2848025125264,441.2016701745615,478.9704500566391,513.6487167373746,544.6114445835865,571.5732543233911,594.5445864981235,613.7544004124442,629.5675193071704,642.4136675955531,652.7348885059047,660.951277969227,667.4417486338615,672.5356886188463,676.5117567193317
81,94.85447739414987,109.59731491157422,125.07488324534692,141.01463412805805,157.02448793968424,172.6441318074371,187.42321958738052,200.99297611462484,213.10882614140343,223.6590995178487,232.64788167317874,240.16476537878248,246.35250755497972,251.3792612330425,255.4179998501366,258.6331087705671,261.17285816107625,263.1661390247659,264.7219917597385
142,166.28809617246026,192.13356441288317,219.26707926962052,247.21084007634866,275.27749737574277,302.6600829216799,328.56910100503745,352.3580568923053,373.5981890380159,392.0937300189446,407.85184194557263,421.0295886887298,431.87723546675454,440.68956907521033,447.7698268977703,453.40619068420403,457.8585908502818,461.35298446316995,464.080528763986
145,169.80122496483617,196.19272422442296,223.89948235278155,252.43360430331379,281.09321915128663,309.05431002565905,335.51070173049595,359.80224119284696,381.4911085247345,400.3774003714575,416.4684301556904,429.9245799990551,441.00140241323527,449.99991208384154,457.22975281814576,462.9851947127436,467.5316596710624,471.09987850112424,473.8850469773096
145,169.80122496483617,196.19272422442296,223.89948235278155,252.43360430331379,281.09321915128663,309.05431002565905,335.51070173049595,359.80224119284696,381.4911085247345,400.3774003714575,416.4684301556904,429.9245799990551,441.00140241323527,449.99991208384154,457.22975281814576,462.9851947127436,467.5316596710624,471.09987850112424,473.8850469773096
