2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041
237,279.3757229211619,325.34637091191684,374.6974129532944,426.9245156238573,481.12791376192837,536.0867193391786,590.4531374718689,642.9682902652132,692.6220074651603,738.7250188096885,780.9033026153064,819.0447840038111,853.2289155243535,883.6597466423517,910.6120846588951,934.392672811526,955.3144491738663,973.6807352031467,989.7763445458789
210,247.54810891748525,288.28159447891363,332.01036590798236,378.2875454894938,426.31587295360737,475.0135487815506,523.1863243421624,569.7187382096826,613.7157028172306,654.5664723630152,691.9396352287525,725.735884560339,756.025621350693,782.9896489236028,806.8714674192742,827.9428746431242,846.4811574958309,862.755081825573,877.0170141545763
194,228.6873006190102,266.31728251861546,306.71433802927896,349.46563726172286,393.8346635857135,438.8220403029562,483.32450915418804,526.3115962508497,566.956411174013,604.6947411353569,639.2204249256094,670.4417219271703,698.423669247783,723.3332947198996,745.3955460920914,764.8615127655529,781.987355019958,797.0213613055294,810.1966702189895
199,234.58130321228364,273.18113000620866,314.61934674137376,358.4724835829013,403.98504151318036,450.13188670251697,495.78132640043003,539.8763281129849,581.5686898125185,620.2796571440001,655.6951781453417,687.7211477500355,716.4242792799424,741.9759054085569,764.606771506836,784.574438352294,802.1416682936683,817.563148968043,831.0780276988604
182,214.54169439515388,249.84404854839184,287.7423171202514,327.84920609089465,369.47375655979306,411.67840894401047,453.42814776320733,493.7562397817249,531.8869424415999,567.2909427146132,599.6810171982522,628.9710999522938,655.2222051706005,678.5910290671223,699.2886050967043,717.5504913573744,733.6170031630534,747.7210709154966,760.0814122672995
207,244.0117073615212,284.1632859863577,327.2673606807255,372.88343769678676,420.2256461971273,468.2276409418141,515.7122339944171,561.5798990924014,604.9483356341274,645.2155227578293,682.0547832969132,715.3682290666198,745.2252553313973,771.8040825104084,795.3447321704274,816.1151192910796,834.3885695316047,850.4300092280648,864.4881996666537
81,95.48284201103003,111.19432929900955,128.06114113593605,145.91091040309047,164.43612242496286,183.21951167288378,201.80043938911976,219.74865616659184,236.71891394378895,252.47563934002017,266.8910021596617,279.92669833041646,291.60988252098156,302.0102931562468,311.2218517188629,319.3493945052051,326.4998750341062,332.77696013272106,338.277991173908
142,167.3896736489662,194.93326864764637,224.50224742349286,255.79443552146725,288.2707331400583,321.19963774752466,353.77360979327165,385.2383848846425,414.98871333355595,442.6116146454674,467.88299144039456,490.73569336937203,511.21732491332574,529.4501435578647,545.5988017787473,559.8470866634459,572.3824969733713,583.3867696153875,593.0305524283325
145,170.9260752049303,199.05157714020228,229.24525265074973,261.1985433141743,294.3609598965384,327.98554558726113,361.2477001410168,393.3772240019237,423.75608051665927,451.9625642506534,477.76784337223387,501.1033488630912,522.0176909326213,540.6357099710591,557.1255370275941,571.6748420154906,584.4750849375974,595.7118422128957,605.559366916255
145,170.9260752049303,199.05157714020228,229.24525265074973,261.1985433141743,294.3609598965384,327.98554558726113,361.2477001410168,393.3772240019237,423.75608051665927,451.9625642506534,477.76784337223387,501.1033488630912,522.0176909326213,540.6357099710591,557.1255370275941,571.6748420154906,584.4750849375974,595.7118422128957,605.559366916255
142,167.3896736489662,194.93326864764637,224.50224742349286,255.79443552146725,288.2707331400583,321.19963774752466,353.77360979327165,385.2383848846425,414.98871333355595,442.6116146454674,467.88299144039456,490.73569336937203,511.21732491332574,529.4501435578647,545.5988017787473,559.8470866634459,572.3824969733713,583.3867696153875,593.0305524283325
154,181.5352798728225,211.40650261787002,243.4742683325204,277.4108666922955,312.63164016597875,348.3432691064704,383.66997118425235,417.79374135376725,450.05818206596916,480.0154130662112,507.42239916775185,532.2063153442485,554.4187889905082,574.192409210642,591.7057427741344,607.1581080716245,620.752848830276,632.6870600054202,643.1458103800226
