2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041
237,275.65805222061783,315.8997730083942,356.9161051778833,397.55943814786946,436.51762556796115,472.5512296921843,504.7108213107816,532.459785890782,555.6817996138936,574.6016295867165,589.6675851225319,601.436787034466,610.4860159720371,617.3541343247128,622.5120690753395,626.3526244356628,629.1925119368242,631.2807069406745,632.8092092601136
210,244.25397032206646,279.9111912732607,316.2547767398966,352.2678565867198,386.78776949059846,418.71627947408734,447.2121201487938,471.79981028297135,492.3762781388931,509.140684443926,522.490265298446,532.918672055856,540.9369761777543,547.0226506674671,551.5929725984021,554.9959963353974,557.5123523490847,559.362651719585,560.7170208633918
194,225.64414401181378,258.5846243191075,292.15917470257114,325.4284008467792,357.31822514845766,386.81408675225214,413.13881575650475,435.8531580709355,454.86189504259653,470.3490132481983,482.6814831804692,492.315344661124,499.722730373735,505.34473442613626,509.56684135280955,512.7105870907957,515.0352207415353,516.7445449219023,517.9957240357048
199,231.45971473376773,265.2491764922804,299.68905033923534,333.81573076551064,366.52745775537664,396.7835219778256,423.7867233790951,447.0864868871967,466.5851397601892,482.4714104968632,495.1217275923369,505.0038844719777,512.602182187491,518.3690832515522,522.7000073670572,525.9247774797337,528.3093243688945,530.0627032961781,531.346129294357
182,211.68677427912425,242.58969910349262,274.08747317457704,305.2988090418238,335.216066891852,362.8874422108757,387.583837462288,408.8931689119085,426.72610772037405,441.2552598514025,452.82489659198654,461.8628491150751,468.8120460207204,474.08629724513816,478.0472429186151,480.99653015734447,483.1773720358734,484.7809648236403,485.95475141493955
207,240.76462788889407,275.912459969357,311.7368513578981,347.23545863548094,381.26222992644705,412.73461833874325,440.82337557523965,465.0598129932146,485.3423313083375,501.867246094727,515.0261186513254,525.3055481693436,533.2093050895007,539.2080413722176,543.7130729898535,547.0674821020347,549.5478901726692,551.3717566950195,552.7067777082004
81,94.2122456956542,107.96574520540057,121.98398531396012,135.87474468344905,149.189568232088,161.50485065429083,172.49610348596332,181.9799268234318,189.91656442500164,196.38283542837146,201.53195947225774,205.55434493583013,208.6471193828481,210.9944509717373,212.75728943081222,214.06988430079616,215.04047876321837,215.75416566326848,216.2765651901654
142,165.16220850349256,189.27328171810962,213.84846808126343,238.2001696919724,261.5422060364999,283.13196040628765,302.40057648156534,319.02653838181874,332.9401499796325,344.2760818620833,353.30294129704447,360.3545306282454,365.77643151067196,369.8915066418111,372.9819148046338,375.2830070458402,376.98454301700014,378.23569782943366,379.15150934572205
145,168.65155093666493,193.27201302201334,218.36639346326194,243.23256764321127,267.06774560065134,289.11362154163174,308.78932105511956,325.76653567157547,339.9740968101881,351.54952021128224,360.7670879441651,367.96765451475767,373.5041025989256,377.70611593706064,380.8618144131824,383.211521279203,384.94900519341564,386.22659285399914,387.16175250091334
145,168.65155093666493,193.27201302201334,218.36639346326194,243.23256764321127,267.06774560065134,289.11362154163174,308.78932105511956,325.76653567157547,339.9740968101881,351.54952021128224,360.7670879441651,367.96765451475767,373.5041025989256,377.70611593706064,380.8618144131824,383.211521279203,384.94900519341564,386.22659285399914,387.16175250091334
142,165.16220850349256,189.27328171810962,213.84846808126343,238.2001696919724,261.5422060364999,283.13196040628765,302.40057648156534,319.02653838181874,332.9401499796325,344.2760818620833,353.30294129704447,360.3545306282454,365.77643151067196,369.8915066418111,372.9819148046338,375.2830070458402,376.98454301700014,378.23569782943366,379.15150934572205
154,179.11957823618206,205.2682069337245,231.92016960925753,258.32976149692786,283.6443642931055,307.05860494766404,327.95555477578216,345.98652754084566,361.07593730185494,373.36983525887905,383.1595278855271,390.8070261742943,396.68711586368653,401.14994382280923,404.5015132388282,406.99706397929145,408.8423917226621,410.1992779276956,411.1924819664873
108,125.6163275942056,143.9543269405341,162.64531375194682,181.16632624459874,198.91942430945065,215.3398008723878,229.9948046479511,242.63990243124243,253.22208590000218,261.8437805711619,268.70927929634365,274.0724599144402,278.1961591771308,281.3259346289831,283.67638590774965,285.42651240106153,286.72063835095787,287.67222088435796,288.3687535868872
