Year,Conservative,Moderate,Advanced
2022,1482,1482,1482
2023,1610,1610,1610
2024,1575,1551,1533
2025,1540,1491,1456
2026,1505,1432,1378
2027,1470,1372,1301
2028,1435,1312,1224
2029,1400,1253,1146
2030,1364,1193,1069
2031,1329,1133,992
2032,1294,1074,914
2033,1259,1014,837
2034,1224,954,760
2035,1189,895,682
2036,1169,881,674
2037,1150,866,666
2038,1130,852,658
2039,1110,838,650
2040,1091,824,642
2041,1071,810,634
