Periods,Solar PV,Wind
1,0.0,20341.536534170464
2,0.0,18865.278812545585
3,0.0,18051.916414426276
4,0.0,15231.82969088527
5,0.0,13254.54717218779
6,0.0,13161.12539177203
7,0.0,15195.868938755943
8,42.76076356751907,24886.062736523516
9,125.50976944122468,28612.86052647313
10,208.9510704672354,29024.163235418913
11,280.66769155450754,27607.77544698019
12,331.0487418393362,24641.659207707413
13,354.2501493727074,22129.034927252855
14,348.0009704943182,21926.049144790955
15,313.10967188345086,24324.96765156645
16,253.3688931489776,28742.93766950014
17,176.13480397683884,35407.33750041942
18,92.17396392109666,45283.07925071989
19,10.151561604089942,50232.605011696425
20,0.0,48319.31834041898
21,0.0,44544.019125444545
22,0.0,41140.457336092935
23,0.0,35294.91530364608
24,0.0,32228.41791400339
25,0.0,31207.09351002965
26,0.0,30331.896062268373
27,0.0,26878.103486397584
28,0.0,26112.111721820373
29,0.0,26549.993910576715
30,0.0,24401.542638901232
31,0.0,20501.986718951197
32,41.9856915031189,28721.8909210162
33,120.46595152028928,37544.677115350096
34,199.99484202536652,40134.31287149911
35,269.0000592959977,38565.08325363844
36,318.0672239944323,36538.58739690147
37,341.1790251256347,34981.91932050173
38,335.7371338258191,35170.47145132141
39,302.41274983205886,36716.690631335
40,245.05018924023287,39244.77699692306
41,170.70926024244454,40870.99304321175
42,90.214790429363,39287.002534046325
43,12.395915624702342,32975.6203586126
44,0.0,27685.478056496893
45,0.0,24266.219177411782
46,0.0,19885.160327490037
47,0.0,17712.783559360214
48,0.0,18030.563521441854
49,0.0,19227.848517016697
50,0.0,22472.981685096434
51,0.0,28456.047697611884
52,0.0,31125.1437323215
53,0.0,32253.278215419337
54,0.0,35454.22211082944
55,0.0,37633.825299280295
56,41.68011031392178,48760.45145345543
57,123.49383626905929,53108.28092614771
58,206.41268654442231,51961.03221708439
59,278.1049320747283,48914.91453497096
60,328.8385739958906,44257.98868766591
61,352.6719102051125,39306.435964577286
62,347.16505801214095,37133.29144010006
63,312.9443154200169,39167.781799733784
64,253.7348937049915,43109.32178733137
65,176.92420363017152,47160.009983504155
66,93.27843566302168,49212.50713203396
67,11.090863221129906,45914.04323284467
68,0.0,42497.437073444715
69,0.0,40966.51058949455
70,0.0,36995.47048291617
71,0.0,33110.317616515844
72,0.0,29595.128222081108
73,0.0,26592.363611645193
74,0.0,24342.85915056034
75,0.0,23347.53875431603
76,0.0,23531.994254852794
77,0.0,25039.79623419415
78,0.0,26771.217463853252
79,0.0,27389.832710115337
80,41.19121529402624,35823.69028594924
81,124.56857024127268,39484.14806938641
82,209.26880731979404,40694.06246052905
83,282.4556505577886,41822.84634195329
84,334.0461089785821,42542.93159361599
85,358.3061731546312,42863.25883431593
86,352.80899961166176,43502.60077202446
87,318.2172617431826,45387.681735483755
88,258.1148605620212,48207.80446642513
89,180.02131951476235,50989.20332621332
90,94.8962677105462,51771.76349026691
91,10.52314551724347,48215.02002489979
92,0.0,44592.69293001189
93,0.0,40201.53235698298
94,0.0,35280.124007738465
95,0.0,30694.54347540722
96,0.0,27574.521257471777
97,0.0,24974.290394296622
98,0.0,20990.758195601316
99,0.0,18874.98880961949
100,0.0,18309.926303021173
101,0.0,16779.43332026216
102,0.0,15389.345598183698
103,0.0,14051.465347101917
104,40.758177139952274,16937.151723089628
105,123.19128419187778,19931.79981661853
106,206.8204401399379,20423.19691035154
107,279.27736270198386,20762.495425945242
108,330.63578922407646,21007.697833079514
109,354.94976513731183,21835.491475526338
110,349.78337032860105,23691.679402696074
111,315.7898238242685,26385.996188369394
112,256.46301237311826,30078.220031331675
113,179.24291495955254,33863.9472573694
114,94.99413373037228,36162.61809116214
115,11.192820887253692,34746.94701524826
116,0.0,31542.362384072203
117,0.0,29466.88704130001
118,0.0,26346.545749507542
119,0.0,24203.79893026139
120,0.0,23239.93719370611
121,0.0,23040.092639998435
122,0.0,24650.506257906454
123,0.0,25565.420925023558
124,0.0,26725.99117097475
125,0.0,25798.072909652896
126,0.0,23219.804656695153
127,0.0,20884.69112746542
128,37.87402779895119,22776.016798820594
129,103.68637925307657,21203.59540104675
130,171.20987130154165,21092.45659046549
131,230.42541709003692,20342.177707121707
132,273.04629279749287,18621.988787303366
133,293.53405936395666,18427.097894937277
